anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,COLIMA,10 A 14 A«?OS,MUJERES,111,0,39,239,0,16,7,3,4,1,58,Colima
2024,COLIMA,15 A 19 A«?OS,HOMBRES,14,0,18,63,0,8,1,7,4,2,9,Colima
2024,COLIMA,15 A 19 A«?OS,MUJERES,65,0,46,135,0,10,1,3,4,1,5,Colima
2024,COLIMA,20 A 29 A«?OS,HOMBRES,94,0,21,141,1,8,0,5,0,12,0,Colima
2024,COLIMA,20 A 29 A«?OS,MUJERES,282,0,75,383,0,9,10,0,0,7,0,Colima
2024,COLIMA,30 A 49 A«?OS,HOMBRES,150,0,36,266,7,19,8,1,0,45,0,Colima
2024,COLIMA,30 A 49 A«?OS,MUJERES,427,0,116,602,15,15,12,0,0,17,0,Colima
2024,COLIMA,5 A 9 A«?OS,HOMBRES,8,0,3,236,0,11,2,57,45,0,110,Colima
2024,COLIMA,5 A 9 A«?OS,MUJERES,26,0,2,105,0,4,0,15,6,0,52,Colima
2024,COLIMA,50 A 59 A«?OS,HOMBRES,41,0,12,75,6,2,1,0,0,13,0,Colima
2024,COLIMA,50 A 59 A«?OS,MUJERES,152,1,38,217,7,2,1,1,0,15,0,Colima
2024,COLIMA,60 A«?OS Y M«ÅS,HOMBRES,55,13,20,96,2,0,1,0,0,5,0,Colima
2024,COLIMA,60 A«?OS Y M«ÅS,MUJERES,148,16,44,229,1,2,4,0,0,14,0,Colima
2024,DURANGO,10 A 14 A«?OS,HOMBRES,134,0,35,407,4,12,1,6,51,2,162,Durango
2024,DURANGO,10 A 14 A«?OS,MUJERES,265,0,109,564,14,3,4,5,11,2,151,Durango
2024,DURANGO,15 A 19 A«?OS,HOMBRES,42,0,49,153,8,3,3,6,7,5,30,Durango
2024,DURANGO,15 A 19 A«?OS,MUJERES,121,0,102,314,30,0,9,1,5,2,44,Durango
2024,DURANGO,20 A 29 A«?OS,HOMBRES,191,0,41,299,17,10,8,8,4,20,0,Durango
2024,DURANGO,20 A 29 A«?OS,MUJERES,492,0,167,717,39,1,8,2,0,8,0,Durango
2024,DURANGO,30 A 49 A«?OS,HOMBRES,296,0,91,483,45,8,2,0,0,41,0,Durango
2024,DURANGO,30 A 49 A«?OS,MUJERES,961,0,300,1383,88,4,15,0,0,15,0,Durango
2024,DURANGO,5 A 9 A«?OS,HOMBRES,44,0,16,190,0,4,0,17,40,0,69,Durango
2024,DURANGO,5 A 9 A«?OS,MUJERES,53,0,14,122,1,1,0,5,17,0,31,Durango
2024,DURANGO,50 A 59 A«?OS,HOMBRES,118,0,36,212,43,1,4,1,0,9,0,Durango
2024,DURANGO,50 A 59 A«?OS,MUJERES,334,2,134,520,30,2,8,1,0,9,0,Durango
2024,DURANGO,60 A«?OS Y M«ÅS,HOMBRES,131,8,53,239,24,0,5,0,0,18,0,Durango
2024,DURANGO,60 A«?OS Y M«ÅS,MUJERES,296,25,126,485,27,0,4,0,0,7,0,Durango
2024,ESTADO DE M«?XICO,10 A 14 A«?OS,HOMBRES,1378,0,357,3255,3,142,16,98,275,9,977,Estado de M«∏xico
2024,ESTADO DE M«?XICO,10 A 14 A«?OS,MUJERES,2093,0,775,3860,3,101,46,32,113,8,689,Estado de M«∏xico
2024,ESTADO DE M«?XICO,15 A 19 A«?OS,HOMBRES,438,0,501,1459,1,95,24,47,68,22,263,Estado de M«∏xico
